effect_id,name,description,level,type,element,duration,modifier_stat,modifier_type,modifier_value,max_stacks,cured_by,is_cleansable,is_dispellable,icon_path
eff_hp_burn_2,HP Burn II,"Deals 6.0% of MAX HP as fire damage per turn, ignoring armor.",2,NEGATIVE,FIRE,2,HP,PERCENT_MAX_HP_TICK,6,1,CLEANSE|BURN_SALVE,TRUE,FALSE,res://Data/Effects/Icons/eff_hp_burn.png
eff_hp_burn_3,HP Burn III,"Deals 12.0% of MAX HP as fire damage per turn, ignoring armor.",3,NEGATIVE,FIRE,3,HP,PERCENT_MAX_HP_TICK,12,1,CLEANSE|BURN_SALVE,TRUE,FALSE,res://Data/Effects/Icons/eff_hp_burn.png
eff_freeze_1,Freeze I,Target cannot act for 1 turn(s).,1,NEGATIVE,WATER,1,NONE,CC_SKIP_TURN,100,1,CLEANSE|THAW,TRUE,FALSE,res://Data/Effects/Icons/eff_freeze.png
eff_freeze_2,Freeze II,Target cannot act for 2 turn(s).,2,NEGATIVE,WATER,2,NONE,CC_SKIP_TURN,100,1,CLEANSE|THAW,TRUE,FALSE,res://Data/Effects/Icons/eff_freeze.png
eff_freeze_3,Freeze III,Target cannot act for 3 turn(s).,3,NEGATIVE,WATER,3,NONE,CC_SKIP_TURN,100,1,CLEANSE|THAW,TRUE,FALSE,res://Data/Effects/Icons/eff_freeze.png
eff_silence_1,Silence I,Target cannot cast magic skills for 1 turn(s).,1,NEGATIVE,NONE,1,MAG,CC_LOCK_MAGIC,100,1,CLEANSE|VOCAL_SALVE,TRUE,FALSE,res://Data/Effects/Icons/eff_silence.png
eff_silence_2,Silence II,Target cannot cast magic skills for 2 turn(s).,2,NEGATIVE,NONE,2,MAG,CC_LOCK_MAGIC,100,1,CLEANSE|VOCAL_SALVE,TRUE,FALSE,res://Data/Effects/Icons/eff_silence.png
eff_silence_3,Silence III,Target cannot cast magic skills for 3 turn(s).,3,NEGATIVE,NONE,3,MAG,CC_LOCK_MAGIC,100,1,CLEANSE|VOCAL_SALVE,TRUE,FALSE,res://Data/Effects/Icons/eff_silence.png
eff_stun_1,Stun I,Target is incapacitated for 1 turn(s).,1,NEGATIVE,NONE,1,NONE,CC_SKIP_TURN,100,1,CLEANSE,TRUE,FALSE,res://Data/Effects/Icons/eff_stun.png
eff_stun_2,Stun II,Target is incapacitated for 2 turn(s).,2,NEGATIVE,NONE,2,NONE,CC_SKIP_TURN,100,1,CLEANSE,TRUE,FALSE,res://Data/Effects/Icons/eff_stun.png
eff_stun_3,Stun III,Target is incapacitated for 3 turn(s).,3,NEGATIVE,NONE,3,NONE,CC_SKIP_TURN,100,1,CLEANSE,TRUE,FALSE,res://Data/Effects/Icons/eff_stun.png
