item_id,item_name,item_type,equip_slot,attack_bonus,defense_bonus,speed_bonus,heal_amount,energy_restore,credit_value,description,icon_path,effects,effect_amount,effect_element,effect_stat,weapon_type,is_consumable
weap_archanist_advanced_primary,Holo-Staff,WEAPON,BOTH_HANDS,18,0,0,0,0,350,Advanced primary weapon for the Archanist.,res://Data/Items/weapon.png,,,,,BASH,FALSE
armor_soulwright_regular_head,Cleric Head Garb,ARMOR,HEAD,0,2,1,0,0,50,Regular robe armor for the Soulwright class.,res://Data/Items/armor.png,+2 defense against MAGIC,2,MAGIC,defense,,FALSE
armor_soulwright_regular_body,Cleric Body Garb,ARMOR,BODY,0,4,1,0,0,50,Regular robe armor for the Soulwright class.,res://Data/Items/armor.png,+5 defense against MAGIC,5,MAGIC,defense,,FALSE
armor_soulwright_regular_arms,Cleric Arms Garb,ARMOR,ARMS,0,2,1,0,0,50,Regular robe armor for the Soulwright class.,res://Data/Items/armor.png,+5 defense against MAGIC,5,MAGIC,defense,,FALSE
armor_soulwright_regular_legs,Cleric Legs Garb,ARMOR,LEGS,0,2,1,0,0,50,Regular robe armor for the Soulwright class.,res://Data/Items/armor.png,+2 defense against MAGIC,2,MAGIC,defense,,FALSE
armor_soulwright_regular_feet,Cleric Feet Garb,ARMOR,FEET,0,2,1,0,0,50,Regular robe armor for the Soulwright class.,res://Data/Items/armor.png,+4 defense against MAGIC,4,MAGIC,defense,,FALSE
weap_soulwright_regular_primary,Iron Mace,WEAPON,RIGHT_HAND,8,0,0,0,0,80,Regular primary weapon for the Soulwright.,res://Data/Items/weapon.png,,,,,BASH,FALSE
armor_soulwright_regular_shield,Steel Kite Shield,ARMOR,LEFT_HAND,0,5,-1,0,0,60,A sturdy shield for the Soulwright.,res://Data/Items/shield.png,+3 defense against MAGIC,3,MAGIC,defense,,FALSE
armor_soulwright_advanced_head,Holo-Vestment Head Garb,ARMOR,HEAD,0,4,2,0,0,200,Advanced robe armor for the Soulwright class.,res://Data/Items/armor.png,+4 defense against MAGIC,4,MAGIC,defense,,FALSE
armor_soulwright_advanced_body,Holo-Vestment Body Garb,ARMOR,BODY,0,6,2,0,0,200,Advanced robe armor for the Soulwright class.,res://Data/Items/armor.png,+5 defense against MAGIC,5,MAGIC,defense,,FALSE
armor_soulwright_advanced_arms,Holo-Vestment Arms Garb,ARMOR,ARMS,0,4,2,0,0,200,Advanced robe armor for the Soulwright class.,res://Data/Items/armor.png,+4 defense against MAGIC,4,MAGIC,defense,,FALSE
armor_soulwright_advanced_legs,Holo-Vestment Legs Garb,ARMOR,LEGS,0,4,2,0,0,200,Advanced robe armor for the Soulwright class.,res://Data/Items/armor.png,+4 defense against MAGIC,4,MAGIC,defense,,FALSE
armor_soulwright_advanced_feet,Holo-Vestment Feet Garb,ARMOR,FEET,0,4,2,0,0,200,Advanced robe armor for the Soulwright class.,res://Data/Items/armor.png,+3 defense against MAGIC,3,MAGIC,defense,,FALSE
weap_soulwright_advanced_primary,Plasma Mace,WEAPON,RIGHT_HAND,18,0,0,0,0,350,Advanced primary weapon for the Soulwright.,res://Data/Items/weapon.png,,,,,BASH,FALSE
armor_soulwright_advanced_shield,Energy Shield,ARMOR,LEFT_HAND,0,10,-1,0,0,330,A sturdy shield for the Soulwright.,res://Data/Items/shield.png,+2 defense against MAGIC,2,MAGIC,defense,,FALSE
armor_shade_regular_head,Shadow Head Armor,ARMOR,HEAD,0,4,0,0,0,50,Regular leather armor for the Shade class.,res://Data/Items/armor.png,+4 defense against BLADE,4,BLADE,defense,,FALSE
armor_shade_regular_body,Shadow Body Armor,ARMOR,BODY,0,6,0,0,0,50,Regular leather armor for the Shade class.,res://Data/Items/armor.png,+2 defense against BLADE,2,BLADE,defense,,FALSE
armor_shade_regular_arms,Shadow Arms Armor,ARMOR,ARMS,0,4,0,0,0,50,Regular leather armor for the Shade class.,res://Data/Items/armor.png,+5 defense against BLADE,5,BLADE,defense,,FALSE
armor_shade_regular_legs,Shadow Legs Armor,ARMOR,LEGS,0,4,0,0,0,50,Regular leather armor for the Shade class.,res://Data/Items/armor.png,+1 defense against BLADE,1,BLADE,defense,,FALSE
armor_shade_regular_feet,Shadow Feet Armor,ARMOR,FEET,0,4,0,0,0,50,Regular leather armor for the Shade class.,res://Data/Items/armor.png,+2 defense against BLADE,2,BLADE,defense,,FALSE
weap_shade_regular_primary,Steel Dagger,WEAPON,RIGHT_HAND,8,0,0,0,0,80,Regular primary weapon for the Shade.,res://Data/Items/weapon.png,,,,,BLADE,FALSE
weap_shade_regular_offhand,Steel Parrying Dagger,WEAPON,LEFT_HAND,6,1,1,0,0,60,Offhand weapon for the Shade.,res://Data/Items/dagger.png,,,,,BLADE,FALSE
armor_shade_advanced_head,Stealth Head Armor,ARMOR,HEAD,0,7,1,0,0,200,Advanced leather armor for the Shade class.,res://Data/Items/armor.png,+2 defense against BLADE,2,BLADE,defense,,FALSE
armor_shade_advanced_body,Stealth Body Armor,ARMOR,BODY,0,9,1,0,0,200,Advanced leather armor for the Shade class.,res://Data/Items/armor.png,+5 defense against BLADE,5,BLADE,defense,,FALSE
armor_shade_advanced_arms,Stealth Arms Armor,ARMOR,ARMS,0,7,1,0,0,200,Advanced leather armor for the Shade class.,res://Data/Items/armor.png,+4 defense against BLADE,4,BLADE,defense,,FALSE
armor_shade_advanced_legs,Stealth Legs Armor,ARMOR,LEGS,0,7,1,0,0,200,Advanced leather armor for the Shade class.,res://Data/Items/armor.png,+3 defense against BLADE,3,BLADE,defense,,FALSE
armor_shade_advanced_feet,Stealth Feet Armor,ARMOR,FEET,0,7,1,0,0,200,Advanced leather armor for the Shade class.,res://Data/Items/armor.png,+3 defense against BLADE,3,BLADE,defense,,FALSE
weap_shade_advanced_primary,Vibro-Dagger,WEAPON,RIGHT_HAND,18,0,0,0,0,350,Advanced primary weapon for the Shade.,res://Data/Items/weapon.png,,,,,BLADE,FALSE
weap_shade_advanced_offhand,Vibro-Wakizashi,WEAPON,LEFT_HAND,16,1,1,0,0,330,Offhand weapon for the Shade.,res://Data/Items/dagger.png,,,,,BLADE,FALSE
armor_warden_regular_head,Hunter Head Armor,ARMOR,HEAD,0,4,0,0,0,50,Regular leather armor for the Warden class.,res://Data/Items/armor.png,+5 defense against MAGIC,5,MAGIC,defense,,FALSE
armor_warden_regular_body,Hunter Body Armor,ARMOR,BODY,0,6,0,0,0,50,Regular leather armor for the Warden class.,res://Data/Items/armor.png,+3 defense against MAGIC,3,MAGIC,defense,,FALSE
armor_warden_regular_arms,Hunter Arms Armor,ARMOR,ARMS,0,4,0,0,0,50,Regular leather armor for the Warden class.,res://Data/Items/armor.png,+4 defense against MAGIC,4,MAGIC,defense,,FALSE
armor_warden_regular_legs,Hunter Legs Armor,ARMOR,LEGS,0,4,0,0,0,50,Regular leather armor for the Warden class.,res://Data/Items/armor.png,+3 defense against MAGIC,3,MAGIC,defense,,FALSE
armor_warden_regular_feet,Hunter Feet Armor,ARMOR,FEET,0,4,0,0,0,50,Regular leather armor for the Warden class.,res://Data/Items/armor.png,+1 defense against MAGIC,1,MAGIC,defense,,FALSE
weap_warden_regular_primary,Crossbow,WEAPON,RIGHT_HAND,8,0,0,0,0,80,Regular primary weapon for the Warden.,res://Data/Items/weapon.png,,,,,RANGED,FALSE
weap_warden_regular_ammo,Iron Arrows,WEAPON,LEFT_HAND,4,0,0,0,0,8,Ammunition for the Warden.,res://Data/Items/ammo.png,,,,,RANGED,TRUE
weap_warden_regular_backup,Iron Dagger,WEAPON,RIGHT_HAND,5,0,1,0,0,40,Backup melee weapon for the Warden.,res://Data/Items/dagger.png,,,,,BLADE,FALSE
armor_warden_advanced_head,Recon Head Armor,ARMOR,HEAD,0,7,1,0,0,200,Advanced leather armor for the Warden class.,res://Data/Items/armor.png,+2 defense against MAGIC,2,MAGIC,defense,,FALSE
armor_warden_advanced_body,Recon Body Armor,ARMOR,BODY,0,9,1,0,0,200,Advanced leather armor for the Warden class.,res://Data/Items/armor.png,+5 defense against MAGIC,5,MAGIC,defense,,FALSE
armor_warden_advanced_arms,Recon Arms Armor,ARMOR,ARMS,0,7,1,0,0,200,Advanced leather armor for the Warden class.,res://Data/Items/armor.png,+3 defense against MAGIC,3,MAGIC,defense,,FALSE
armor_warden_advanced_legs,Recon Legs Armor,ARMOR,LEGS,0,7,1,0,0,200,Advanced leather armor for the Warden class.,res://Data/Items/armor.png,+1 defense against MAGIC,1,MAGIC,defense,,FALSE
armor_warden_advanced_feet,Recon Feet Armor,ARMOR,FEET,0,7,1,0,0,200,Advanced leather armor for the Warden class.,res://Data/Items/armor.png,+3 defense against MAGIC,3,MAGIC,defense,,FALSE
weap_warden_advanced_primary,Laser Bow,WEAPON,RIGHT_HAND,18,0,0,0,0,350,Advanced primary weapon for the Warden.,res://Data/Items/weapon.png,,,,,RANGED,FALSE
weap_warden_advanced_ammo,Plasma Bolts,WEAPON,LEFT_HAND,9,0,0,0,0,35,Ammunition for the Warden.,res://Data/Items/ammo.png,,,,,RANGED,TRUE
weap_warden_advanced_backup,Laser Dagger,WEAPON,RIGHT_HAND,12,0,1,0,0,175,Backup melee weapon for the Warden.,res://Data/Items/dagger.png,,,,,BLADE,FALSE
armor_maester_regular_head,Treated Head Armor,ARMOR,HEAD,0,4,0,0,0,50,Regular leather armor for the Maester class.,res://Data/Items/armor.png,+3 defense against MAGIC,3,MAGIC,defense,,FALSE
armor_maester_regular_body,Treated Body Armor,ARMOR,BODY,0,6,0,0,0,50,Regular leather armor for the Maester class.,res://Data/Items/armor.png,+1 defense against MAGIC,1,MAGIC,defense,,FALSE
armor_maester_regular_arms,Treated Arms Armor,ARMOR,ARMS,0,4,0,0,0,50,Regular leather armor for the Maester class.,res://Data/Items/armor.png,+2 defense against MAGIC,2,MAGIC,defense,,FALSE
armor_maester_regular_legs,Treated Legs Armor,ARMOR,LEGS,0,4,0,0,0,50,Regular leather armor for the Maester class.,res://Data/Items/armor.png,+5 defense against MAGIC,5,MAGIC,defense,,FALSE
armor_maester_regular_feet,Treated Feet Armor,ARMOR,FEET,0,4,0,0,0,50,Regular leather armor for the Maester class.,res://Data/Items/armor.png,+3 defense against MAGIC,3,MAGIC,defense,,FALSE
weap_maester_regular_primary,Alchemy Flasks,WEAPON,RIGHT_HAND,8,0,0,0,0,80,Regular primary weapon for the Maester.,res://Data/Items/weapon.png,,,,,RANGED,FALSE
armor_maester_advanced_head,Chem-Guard Head Armor,ARMOR,HEAD,0,7,1,0,0,200,Advanced leather armor for the Maester class.,res://Data/Items/armor.png,+4 defense against MAGIC,4,MAGIC,defense,,FALSE
armor_maester_advanced_body,Chem-Guard Body Armor,ARMOR,BODY,0,9,1,0,0,200,Advanced leather armor for the Maester class.,res://Data/Items/armor.png,+1 defense against MAGIC,1,MAGIC,defense,,FALSE
armor_maester_advanced_arms,Chem-Guard Arms Armor,ARMOR,ARMS,0,7,1,0,0,200,Advanced leather armor for the Maester class.,res://Data/Items/armor.png,+1 defense against MAGIC,1,MAGIC,defense,,FALSE
armor_maester_advanced_legs,Chem-Guard Legs Armor,ARMOR,LEGS,0,7,1,0,0,200,Advanced leather armor for the Maester class.,res://Data/Items/armor.png,+1 defense against MAGIC,1,MAGIC,defense,,FALSE
armor_maester_advanced_feet,Chem-Guard Feet Armor,ARMOR,FEET,0,7,1,0,0,200,Advanced leather armor for the Maester class.,res://Data/Items/armor.png,+4 defense against MAGIC,4,MAGIC,defense,,FALSE
weap_maester_advanced_primary,Plasma Caster,WEAPON,RIGHT_HAND,18,0,0,0,0,350,Advanced primary weapon for the Maester.,res://Data/Items/weapon.png,,,,,RANGED,FALSE
armor_echo_regular_head,Minstrel Head Armor,ARMOR,HEAD,0,4,0,0,0,50,Regular leather armor for the Echo class.,res://Data/Items/armor.png,+2 defense against MAGIC,2,MAGIC,defense,,FALSE
armor_echo_regular_body,Minstrel Body Armor,ARMOR,BODY,0,6,0,0,0,50,Regular leather armor for the Echo class.,res://Data/Items/armor.png,+1 defense against MAGIC,1,MAGIC,defense,,FALSE
armor_echo_regular_arms,Minstrel Arms Armor,ARMOR,ARMS,0,4,0,0,0,50,Regular leather armor for the Echo class.,res://Data/Items/armor.png,+5 defense against MAGIC,5,MAGIC,defense,,FALSE
armor_echo_regular_legs,Minstrel Legs Armor,ARMOR,LEGS,0,4,0,0,0,50,Regular leather armor for the Echo class.,res://Data/Items/armor.png,+5 defense against MAGIC,5,MAGIC,defense,,FALSE
armor_echo_regular_feet,Minstrel Feet Armor,ARMOR,FEET,0,4,0,0,0,50,Regular leather armor for the Echo class.,res://Data/Items/armor.png,+2 defense against MAGIC,2,MAGIC,defense,,FALSE
weap_echo_regular_primary,Lute,WEAPON,BOTH_HANDS,8,0,0,0,0,80,Regular primary weapon for the Echo.,res://Data/Items/weapon.png,,,,,BASH,FALSE
armor_echo_advanced_head,Synth-Silk Head Armor,ARMOR,HEAD,0,7,1,0,0,200,Advanced leather armor for the Echo class.,res://Data/Items/armor.png,+5 defense against MAGIC,5,MAGIC,defense,,FALSE
armor_echo_advanced_body,Synth-Silk Body Armor,ARMOR,BODY,0,9,1,0,0,200,Advanced leather armor for the Echo class.,res://Data/Items/armor.png,+2 defense against MAGIC,2,MAGIC,defense,,FALSE
armor_echo_advanced_arms,Synth-Silk Arms Armor,ARMOR,ARMS,0,7,1,0,0,200,Advanced leather armor for the Echo class.,res://Data/Items/armor.png,+5 defense against MAGIC,5,MAGIC,defense,,FALSE
armor_echo_advanced_legs,Synth-Silk Legs Armor,ARMOR,LEGS,0,7,1,0,0,200,Advanced leather armor for the Echo class.,res://Data/Items/armor.png,+2 defense against MAGIC,2,MAGIC,defense,,FALSE
armor_echo_advanced_feet,Synth-Silk Feet Armor,ARMOR,FEET,0,7,1,0,0,200,Advanced leather armor for the Echo class.,res://Data/Items/armor.png,+5 defense against MAGIC,5,MAGIC,defense,,FALSE
weap_echo_advanced_primary,Sonic Synth,WEAPON,BOTH_HANDS,18,0,0,0,0,350,Advanced primary weapon for the Echo.,res://Data/Items/weapon.png,,,,,BASH,FALSE
armor_psynic_regular_head,Mind-Silk Head Garb,ARMOR,HEAD,0,2,1,0,0,50,Regular robe armor for the Psynic class.,res://Data/Items/armor.png,+5 defense against MAGIC,5,MAGIC,defense,,FALSE
armor_psynic_regular_body,Mind-Silk Body Garb,ARMOR,BODY,0,4,1,0,0,50,Regular robe armor for the Psynic class.,res://Data/Items/armor.png,+2 defense against MAGIC,2,MAGIC,defense,,FALSE
armor_psynic_regular_arms,Mind-Silk Arms Garb,ARMOR,ARMS,0,2,1,0,0,50,Regular robe armor for the Psynic class.,res://Data/Items/armor.png,+3 defense against MAGIC,3,MAGIC,defense,,FALSE
armor_psynic_regular_legs,Mind-Silk Legs Garb,ARMOR,LEGS,0,2,1,0,0,50,Regular robe armor for the Psynic class.,res://Data/Items/armor.png,+4 defense against MAGIC,4,MAGIC,defense,,FALSE
armor_psynic_regular_feet,Mind-Silk Feet Garb,ARMOR,FEET,0,2,1,0,0,50,Regular robe armor for the Psynic class.,res://Data/Items/armor.png,+5 defense against MAGIC,5,MAGIC,defense,,FALSE
weap_psynic_regular_primary,Focus Crystal,WEAPON,RIGHT_HAND,8,0,0,0,0,80,Regular primary weapon for the Psynic.,res://Data/Items/weapon.png,,,,,BASH,FALSE
armor_psynic_advanced_head,Neural-Weave Head Garb,ARMOR,HEAD,0,4,2,0,0,200,Advanced robe armor for the Psynic class.,res://Data/Items/armor.png,+1 defense against MAGIC,1,MAGIC,defense,,FALSE
armor_psynic_advanced_body,Neural-Weave Body Garb,ARMOR,BODY,0,6,2,0,0,200,Advanced robe armor for the Psynic class.,res://Data/Items/armor.png,+3 defense against MAGIC,3,MAGIC,defense,,FALSE
armor_psynic_advanced_arms,Neural-Weave Arms Garb,ARMOR,ARMS,0,4,2,0,0,200,Advanced robe armor for the Psynic class.,res://Data/Items/armor.png,+4 defense against MAGIC,4,MAGIC,defense,,FALSE
armor_psynic_advanced_legs,Neural-Weave Legs Garb,ARMOR,LEGS,0,4,2,0,0,200,Advanced robe armor for the Psynic class.,res://Data/Items/armor.png,+4 defense against MAGIC,4,MAGIC,defense,,FALSE
armor_psynic_advanced_feet,Neural-Weave Feet Garb,ARMOR,FEET,0,4,2,0,0,200,Advanced robe armor for the Psynic class.,res://Data/Items/armor.png,+5 defense against MAGIC,5,MAGIC,defense,,FALSE
weap_psynic_advanced_primary,Psi-Amplifier,WEAPON,RIGHT_HAND,18,0,0,0,0,350,Advanced primary weapon for the Psynic.,res://Data/Items/weapon.png,,,,,BASH,FALSE
armor_amazon_regular_head,Bronze Head Armor,ARMOR,HEAD,0,7,-1,0,0,50,Regular heavy armor for the Amazon class.,res://Data/Items/armor.png,+1 defense against RANGED,1,RANGED,defense,,FALSE
armor_amazon_regular_body,Bronze Body Armor,ARMOR,BODY,0,9,-1,0,0,50,Regular heavy armor for the Amazon class.,res://Data/Items/armor.png,+5 defense against RANGED,5,RANGED,defense,,FALSE
armor_amazon_regular_arms,Bronze Arms Armor,ARMOR,ARMS,0,7,-1,0,0,50,Regular heavy armor for the Amazon class.,res://Data/Items/armor.png,+3 defense against RANGED,3,RANGED,defense,,FALSE
armor_amazon_regular_legs,Bronze Legs Armor,ARMOR,LEGS,0,7,-1,0,0,50,Regular heavy armor for the Amazon class.,res://Data/Items/armor.png,+3 defense against RANGED,3,RANGED,defense,,FALSE
armor_amazon_regular_feet,Bronze Feet Armor,ARMOR,FEET,0,7,-1,0,0,50,Regular heavy armor for the Amazon class.,res://Data/Items/armor.png,+1 defense against RANGED,1,RANGED,defense,,FALSE
weap_amazon_regular_primary,Steel Lance,WEAPON,BOTH_HANDS,8,0,0,0,0,80,Regular primary weapon for the Amazon.,res://Data/Items/weapon.png,,,,,BLADE,FALSE
armor_amazon_advanced_head,Valkyrie EX Head Armor,ARMOR,HEAD,0,12,0,0,0,200,Advanced heavy armor for the Amazon class.,res://Data/Items/armor.png,+5 defense against RANGED,5,RANGED,defense,,FALSE
armor_amazon_advanced_body,Valkyrie EX Body Armor,ARMOR,BODY,0,14,0,0,0,200,Advanced heavy armor for the Amazon class.,res://Data/Items/armor.png,+3 defense against RANGED,3,RANGED,defense,,FALSE
armor_amazon_advanced_arms,Valkyrie EX Arms Armor,ARMOR,ARMS,0,12,0,0,0,200,Advanced heavy armor for the Amazon class.,res://Data/Items/armor.png,+5 defense against RANGED,5,RANGED,defense,,FALSE
armor_amazon_advanced_legs,Valkyrie EX Legs Armor,ARMOR,LEGS,0,12,0,0,0,200,Advanced heavy armor for the Amazon class.,res://Data/Items/armor.png,+4 defense against RANGED,4,RANGED,defense,,FALSE
armor_amazon_advanced_feet,Valkyrie EX Feet Armor,ARMOR,FEET,0,12,0,0,0,200,Advanced heavy armor for the Amazon class.,res://Data/Items/armor.png,+2 defense against RANGED,2,RANGED,defense,,FALSE
weap_amazon_advanced_primary,Turbo Lance,WEAPON,BOTH_HANDS,18,0,0,0,0,350,Advanced primary weapon for the Amazon.,res://Data/Items/weapon.png,,,,,BLADE,FALSE
armor_wizard_regular_head,Mystic Head Garb,ARMOR,HEAD,0,2,1,0,0,50,Regular robe armor for the Wizard class.,res://Data/Items/armor.png,+5 defense against MAGIC,5,MAGIC,defense,,FALSE
armor_wizard_regular_body,Mystic Body Garb,ARMOR,BODY,0,4,1,0,0,50,Regular robe armor for the Wizard class.,res://Data/Items/armor.png,+2 defense against MAGIC,2,MAGIC,defense,,FALSE
armor_wizard_regular_arms,Mystic Arms Garb,ARMOR,ARMS,0,2,1,0,0,50,Regular robe armor for the Wizard class.,res://Data/Items/armor.png,+4 defense against MAGIC,4,MAGIC,defense,,FALSE
armor_wizard_regular_legs,Mystic Legs Garb,ARMOR,LEGS,0,2,1,0,0,50,Regular robe armor for the Wizard class.,res://Data/Items/armor.png,+1 defense against MAGIC,1,MAGIC,defense,,FALSE
armor_wizard_regular_feet,Mystic Feet Garb,ARMOR,FEET,0,2,1,0,0,50,Regular robe armor for the Wizard class.,res://Data/Items/armor.png,+3 defense against MAGIC,3,MAGIC,defense,,FALSE
weap_wizard_regular_primary,Elder Staff,WEAPON,BOTH_HANDS,8,0,0,0,0,80,Regular primary weapon for the Wizard.,res://Data/Items/weapon.png,,,,,BASH,FALSE
armor_wizard_advanced_head,Void-Loomed Head Garb,ARMOR,HEAD,0,4,2,0,0,200,Advanced robe armor for the Wizard class.,res://Data/Items/armor.png,+5 defense against MAGIC,5,MAGIC,defense,,FALSE
armor_wizard_advanced_body,Void-Loomed Body Garb,ARMOR,BODY,0,6,2,0,0,200,Advanced robe armor for the Wizard class.,res://Data/Items/armor.png,+5 defense against MAGIC,5,MAGIC,defense,,FALSE
armor_wizard_advanced_arms,Void-Loomed Arms Garb,ARMOR,ARMS,0,4,2,0,0,200,Advanced robe armor for the Wizard class.,res://Data/Items/armor.png,+1 defense against MAGIC,1,MAGIC,defense,,FALSE
armor_wizard_advanced_legs,Void-Loomed Legs Garb,ARMOR,LEGS,0,4,2,0,0,200,Advanced robe armor for the Wizard class.,res://Data/Items/armor.png,+3 defense against MAGIC,3,MAGIC,defense,,FALSE
armor_wizard_advanced_feet,Void-Loomed Feet Garb,ARMOR,FEET,0,4,2,0,0,200,Advanced robe armor for the Wizard class.,res://Data/Items/armor.png,+1 defense against MAGIC,1,MAGIC,defense,,FALSE
weap_wizard_advanced_primary,Quantum Staff,WEAPON,BOTH_HANDS,18,0,0,0,0,350,Advanced primary weapon for the Wizard.,res://Data/Items/weapon.png,,,,,BASH,FALSE
armor_crusader_regular_head,Knight Head Armor,ARMOR,HEAD,0,7,-1,0,0,50,Regular heavy armor for the Crusader class.,res://Data/Items/armor.png,+5 defense against MAGIC,5,MAGIC,defense,,FALSE
armor_crusader_regular_body,Knight Body Armor,ARMOR,BODY,0,9,-1,0,0,50,Regular heavy armor for the Crusader class.,res://Data/Items/armor.png,+5 defense against MAGIC,5,MAGIC,defense,,FALSE
